Length	Source
112534	WWTP-I
111904	WWTP-I
98857	WWTP-I
107867	WWTP-S
112417	WWTP-I
112978	WWTP-I
143320	WWTP-I
143111	WWTP-S
121584	River
121723	River
121726	River
118063	WWTP-S
142663	Marine
142340	River
95060	Manhole
97397	Manhole
142339	River
141959	WWTP-I
141114	Pig-I
139454	WWTP-I
139256	Manhole
128283	Fishing water
139253	Manhole
139079	River
73723	Pig-I
130634	River
139073	River
139079	River
139078	River
139078	River
139079	River
137722	Pig-I
96430	WWTP-I
137238	Pig-I
44860	WWTP-I
34662	Pig-I
60051	Pig-I
26052	WWTP-I
10144	WWTP-S
136070	WWTP-I
68160	WWTP-I
135610	Fishing water
135503	WWTP-E
72949	WWTP-I
72948	WWTP-I
135303	WWTP-I
134781	WWTP-S
134481	WWTP-S
35465	Manhole
56639	WWTP-I
134422	WWTP-I
106598	Manhole
120894	Pig-I
106584	WWTP-I
88271	WWTP-E
106235	Manhole
111141	Pig-I
111140	Pig-I
110354	Pig-I
111142	Pig-I
112461	Pig-I
111008	Pig-I
110887	Pig-I
120907	Pig-I
106749	WWTP-I
105354	WWTP-I
104370	WWTP-I
104011	WWTP-I
134265	WWTP-I
134130	WWTP-I
131902	River
125788	Marine
130834	Manhole
130832	Manhole
130685	WWTP-I
127779	WWTP-I
116920	WWTP-I
130499	WWTP-I
129673	Manhole
127617	WWTP-I
130491	River
123221	WWTP-I
124034	WWTP-E
124030	WWTP-E
117559	WWTP-S
129256	Fishing water
96117	WWTP-I
97950	WWTP-I
128906	WWTP-I
128762	Manhole
128755	Manhole
128760	Manhole
110396	Manhole
106174	WWTP-S
128684	WWTP-I
13073	WWTP-I
13055	Fishing water
19974	WWTP-I
6758	WWTP-E
13073	WWTP-I
128610	Pig-I
128565	Manhole
128380	WWTP-I
55623	Manhole
59183	WWTP-I
46279	WWTP-I
53343	WWTP-I
53340	WWTP-I
53323	Fishing water
53348	Fishing water
52980	WWTP-I
45656	WWTP-I
52461	WWTP-I
41223	WWTP-I
55445	WWTP-I
43532	WWTP-I
43532	WWTP-I
42514	WWTP-E
42525	WWTP-E
42514	WWTP-E
52071	Pig-E
52370	Pig-I
47558	Pig-I
40717	Pig-I
50697	WWTP-E
50929	WWTP-E
49680	River
44950	River
44950	River
52534	Marine
53347	BB
53347	BB
53181	BB
53347	BB
53347	BB
53347	WWTP-E
53347	WWTP-E
56138	WWTP-E
51088	WWTP-S
53347	WWTP-S
53339	WWTP-S
44878	WWTP-S
52784	Pig-I
58092	WWTP-S
46272	WWTP-I
46985	WWTP-I
53131	WWTP-I
52835	WWTP-I
62314	WWTP-E
62322	WWTP-E
59195	WWTP-S
74468	WWTP-I
61742	WWTP-I
66613	WWTP-I
53338	WWTP-I
42700	WWTP-I
53348	WWTP-I
48267	Pig-I
128358	Pig-I
78726	Manhole
88685	Pig-S
110177	Pig-I
114631	Pig-I
104923	Pig-I
39521	Pig-I
97095	WWTP-E
46683	Pig-I
105321	River
127118	WWTP-E
126711	Manhole
126608	WWTP-E
123638	WWTP-I
126153	River
80375	River
87488	WWTP-E
33654	WWTP-I
125483	WWTP-I
125223	WWTP-E
98507	WWTP-I
125203	Manhole
125190	WWTP-I
125051	WWTP-I
124849	River
124348	Pig-I
91724	Manhole
123739	Manhole
123731	Manhole
123448	WWTP-I
123192	Manhole
91263	Manhole
114304	Marine
40217	WWTP-I
123127	WWTP-I
79520	BB
79243	BB
79229	BB
79246	BB
79243	BB
74659	WWTP-S
122896	WWTP-S
63033	WWTP-I
55803	WWTP-E
59740	WWTP-E
59175	WWTP-I
62901	WWTP-E
55801	WWTP-E
59453	BB
59469	WWTP-S
122643	River
110120	Pig-I
122642	River
121974	WWTP-E
121974	WWTP-E
85956	Marine
121928	WWTP-I
106836	WWTP-I
120663	WWTP-S
81290	WWTP-S
